"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"androidx.activity:activity:1.13.0","https://developer.android.com/jetpack/androidx/releases/activity#1.13.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.activity:activity-compose:1.13.0","https://developer.android.com/jetpack/androidx/releases/activity#1.13.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.activity:activity-ktx:1.13.0","https://developer.android.com/jetpack/androidx/releases/activity#1.13.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.annotation:annotation:1.9.1","https://developer.android.com/jetpack/androidx/releases/annotation#1.9.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.annotation:annotation-experimental:1.5.1","https://developer.android.com/jetpack/androidx/releases/annotation#1.5.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.annotation:annotation-jvm:1.9.1","https://developer.android.com/jetpack/androidx/releases/annotation#1.9.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.appcompat:appcompat:1.7.1","https://developer.android.com/jetpack/androidx/releases/appcompat#1.7.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.appcompat:appcompat-resources:1.7.1","https://developer.android.com/jetpack/androidx/releases/appcompat#1.7.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.arch.core:core-common:2.2.0","https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.arch.core:core-runtime:2.2.0","https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.autofill:autofill:1.0.0","https://developer.android.com/jetpack/androidx","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.biometric:biometric:1.1.0","https://developer.android.com/jetpack/androidx/releases/biometric#1.1.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.collection:collection:1.6.0","https://developer.android.com/jetpack/androidx/releases/collection#1.6.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.collection:collection-jvm:1.6.0","https://developer.android.com/jetpack/androidx/releases/collection#1.6.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.collection:collection-ktx:1.6.0","https://developer.android.com/jetpack/androidx/releases/collection#1.6.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose:compose-bom-alpha:2026.04.01","https://developer.android.com/jetpack","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.animation:animation:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-animation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.animation:animation-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-animation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.animation:animation-core:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-animation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.animation:animation-core-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-animation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.foundation:foundation:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.foundation:foundation-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.foundation:foundation-layout:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.foundation:foundation-layout-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material:material-icons-core:1.7.8","https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material:material-icons-core-android:1.7.8","https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material:material-icons-extended:1.7.8","https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material:material-icons-extended-android:1.7.8","https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material:material-ripple:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-material#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material:material-ripple-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-material#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material3:material3:1.5.0-alpha18","https://developer.android.com/jetpack/androidx/releases/compose-material3#1.5.0-alpha18","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material3:material3-adaptive-navigation-suite:1.5.0-alpha18","https://developer.android.com/jetpack/androidx/releases/compose-material3#1.5.0-alpha18","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material3:material3-adaptive-navigation-suite-android:1.5.0-alpha18","https://developer.android.com/jetpack/androidx/releases/compose-material3#1.5.0-alpha18","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material3:material3-android:1.5.0-alpha18","https://developer.android.com/jetpack/androidx/releases/compose-material3#1.5.0-alpha18","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material3.adaptive:adaptive:1.3.0-alpha10","https://developer.android.com/jetpack/androidx/releases/compose-material3-adaptive#1.3.0-alpha10","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.material3.adaptive:adaptive-android:1.3.0-alpha10","https://developer.android.com/jetpack/androidx/releases/compose-material3-adaptive#1.3.0-alpha10","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime-annotation:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime-annotation-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime-retain:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime-retain-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime-saveable:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.runtime:runtime-saveable-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-geometry:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-geometry-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-graphics:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-graphics-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-text:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-text-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-tooling:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-tooling-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-tooling-data:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-tooling-data-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-tooling-preview:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-tooling-preview-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-unit:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-unit-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-util:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.compose.ui:ui-util-android:1.12.0-alpha01","https://developer.android.com/jetpack/androidx/releases/compose-ui#1.12.0-alpha01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.concurrent:concurrent-futures:1.1.0","https://developer.android.com/topic/libraries/architecture/index.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.concurrent:concurrent-futures-ktx:1.1.0","https://developer.android.com/topic/libraries/architecture/index.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.constraintlayout:constraintlayout-compose:1.1.1","https://developer.android.com/jetpack/androidx/releases/constraintlayout#1.1.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.constraintlayout:constraintlayout-compose-android:1.1.1","https://developer.android.com/jetpack/androidx/releases/constraintlayout#1.1.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.constraintlayout:constraintlayout-core:1.1.1","https://developer.android.com/jetpack/androidx/releases/constraintlayout#1.1.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.core:core:1.18.0","https://developer.android.com/jetpack/androidx/releases/core#1.18.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.core:core-ktx:1.18.0","https://developer.android.com/jetpack/androidx/releases/core#1.18.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.core:core-remoteviews:1.1.0","https://developer.android.com/jetpack/androidx/releases/core#1.1.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.core:core-splashscreen:1.2.0","https://developer.android.com/jetpack/androidx/releases/core#1.2.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.core:core-viewtree:1.0.0","https://developer.android.com/jetpack/androidx/releases/core#1.0.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.cursoradapter:cursoradapter:1.0.0","http://developer.android.com/tools/extras/support-library.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.customview:customview:1.0.0","http://developer.android.com/tools/extras/support-library.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.customview:customview-poolingcontainer:1.0.0","https://developer.android.com/jetpack/androidx/releases/customview#1.0.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-android:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-core:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-core-android:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-core-okio:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-core-okio-jvm:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-preferences:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-preferences-android:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-preferences-core:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-preferences-core-android:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.datastore:datastore-preferences-external-protobuf:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","The 3-Clause BSD License","https://opensource.org/licenses/BSD-3-Clause",
"androidx.datastore:datastore-preferences-proto:1.2.1","https://developer.android.com/jetpack/androidx/releases/datastore#1.2.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.drawerlayout:drawerlayout:1.0.0","http://developer.android.com/tools/extras/support-library.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.emoji2:emoji2:1.4.0","https://developer.android.com/jetpack/androidx/releases/emoji2#1.4.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.emoji2:emoji2-views-helper:1.4.0","https://developer.android.com/jetpack/androidx/releases/emoji2#1.4.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.fragment:fragment:1.5.4","https://developer.android.com/jetpack/androidx/releases/fragment#1.5.4","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-appwidget:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-appwidget-external-protobuf:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","The 3-Clause BSD License","https://opensource.org/licenses/BSD-3-Clause",
"androidx.glance:glance-appwidget-preview:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-appwidget-proto:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-material3:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-preview:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.graphics:graphics-path:1.0.1","https://developer.android.com/jetpack/androidx/releases/graphics#1.0.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.graphics:graphics-shapes:1.1.0","https://developer.android.com/jetpack/androidx/releases/graphics#1.1.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.graphics:graphics-shapes-android:1.1.0","https://developer.android.com/jetpack/androidx/releases/graphics#1.1.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.hilt:hilt-lifecycle-viewmodel:1.3.0","https://developer.android.com/jetpack/androidx/releases/hilt#1.3.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.hilt:hilt-lifecycle-viewmodel-compose:1.3.0","https://developer.android.com/jetpack/androidx/releases/hilt#1.3.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.interpolator:interpolator:1.0.0","http://developer.android.com/tools/extras/support-library.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
